Date,Open,High,Low,Close,Adj Close,Volume
2022-02-02,2476.646240,2475.729248,2326.407227,2374.280273,2374.280273,12280290680
2022-02-03,2373.724365,2401.149414,2264.183594,2342.839111,2342.839111,11154268248
2022-02-04,2344.496338,2605.945557,2336.869141,2605.945557,2605.945557,16583953860
2022-02-05,2606.695801,2667.559814,2591.266602,2633.075195,2633.075195,11443722619
2022-02-06,2633.347168,2672.370850,2590.086670,2669.216309,2669.216309,8263956792
2022-02-07,2669.169189,2783.894531,2623.711426,2746.519287,2746.519287,13282233748
2022-02-08,2746.989502,2820.264404,2660.747070,2734.190430,2734.190430,15004540938
2022-02-09,2732.941650,2856.527344,2680.632813,2836.381104,2836.381104,12215389029
2022-02-10,2836.955566,2860.327637,2689.193848,2696.831543,2696.831543,16325222700
2022-02-11,2696.770996,2746.448975,2544.893799,2578.966553,2578.966553,14134338340
2022-02-12,2578.968994,2625.551270,2528.723633,2570.295654,2570.295654,9915470070
2022-02-13,2569.790771,2597.091309,2506.892090,2537.263428,2537.263428,7967788418
2022-02-14,2534.380859,2614.905029,2500.599609,2594.594727,2594.594727,10759266611
2022-02-15,2594.815918,2804.803223,2579.447021,2800.412842,2800.412842,12259992407
2022-02-16,2800.914551,2801.945068,2687.148682,2750.238525,2750.238525,10861224280
2022-02-17,2749.384033,2772.812256,2518.821777,2535.738770,2535.738770,13957171791
2022-02-18,2538.254395,2582.102783,2437.600342,2460.443604,2460.443604,13909290717
2022-02-19,2459.688965,2496.320801,2391.243408,2440.989258,2440.989258,8632871348
2022-02-20,2441.038330,2441.038330,2284.707031,2322.729004,2322.729004,10286618940
2022-02-21,2321.860352,2418.665039,2271.664795,2275.871338,2275.871338,16487886316
2022-02-22,2275.059814,2337.557617,2220.728027,2329.746338,2329.746338,14441378030
2022-02-23,2329.876709,2416.817871,2289.441406,2291.175781,2291.175781,11836956021
2022-02-24,2289.235596,2398.342773,2051.976318,2321.591309,2321.591309,26193040408
2022-02-25,2321.921143,2503.081055,2307.797852,2452.134766,2452.134766,15264244490
2022-02-26,2452.537354,2527.877930,2434.814697,2467.274658,2467.274658,10401568683
